frame,X,Y,Xs,Ys,inliers,ref_idx,mode
1,0.44732753982036444,0.03934052491103257,0.44732753982036444,0.03934052491103257,161,0,ref
2,0.4462015359206104,0.040349668455294196,0.4462015359206104,0.040349668455294196,156,0,ref
3,0.4444236332455654,0.04079472551990726,0.4444236332455654,0.04079472551990726,164,0,ref
4,0.4443886496803977,0.04064485271630369,0.4443886496803977,0.04064485271630369,158,0,ref
5,0.44432632886121115,0.042409007659586884,0.44432632886121115,0.042409007659586884,136,0,ref
6,0.43665044746483506,0.04333148562611244,0.43665044746483506,0.04333148562611244,122,0,ref
7,0.43177551810863013,0.04550007993216232,0.43177551810863013,0.04550007993216232,114,0,ref
8,0.42948639525013854,0.054211816753781505,0.42948639525013854,0.054211816753781505,100,0,ref
9,0.42452295815072405,0.06695274271574769,0.42452295815072405,0.06695274271574769,93,0,ref
10,0.41924811995478795,0.08505129559608582,0.41924811995478795,0.08505129559608582,82,0,ref
11,0.41885118843975194,0.10434035983374157,0.41885118843975194,0.10434035983374157,86,0,ref
12,0.42002019438140936,0.12351864852090788,0.42002019438140936,0.12351864852090788,82,0,ref
13,0.41566179702657285,0.14205834874054757,0.41566179702657285,0.14205834874054757,79,0,ref
14,0.40907233464479975,0.16354771950066782,0.40907233464479975,0.16354771950066782,76,0,ref
15,0.40080000714557923,0.17403056188834576,0.40080000714557923,0.17403056188834576,70,0,ref
16,0.3966315495729975,0.18180526787700213,0.3966315495729975,0.18180526787700213,76,0,ref
17,0.39011547147831205,0.19179570208240682,0.39011547147831205,0.19179570208240682,64,0,ref
18,0.38114239001221245,0.20704580286643726,0.38114239001221245,0.20704580286643726,83,0,ref
19,0.3709509060811045,0.22386174863767838,0.3709509060811045,0.22386174863767838,58,0,ref
20,0.3691604174425755,0.25601359194283857,0.3691604174425755,0.25601359194283857,60,0,ref
21,0.36213464166002635,0.2677221332156363,0.36213464166002635,0.2677221332156363,63,0,ref
22,0.3612756834854836,0.2933449524577405,0.3612756834854836,0.2933449524577405,57,0,ref
23,0.35976780386034507,0.3227226284475093,0.35976780386034507,0.3227226284475093,51,0,ref
24,0.3606062590943736,0.3385007593555387,0.3606062590943736,0.3385007593555387,51,0,ref
25,0.37154988967658675,0.3441359767710188,0.37154988967658675,0.3441359767710188,62,1,ref
26,0.3741999454878915,0.3653221266125448,0.3741999454878915,0.3653221266125448,64,1,ref
27,0.37746285652109896,0.37978289729759807,0.37746285652109896,0.37978289729759807,78,1,ref
28,0.37816354282150777,0.38980004795929757,0.37816354282150777,0.38980004795929757,70,1,ref
29,0.3701696966809867,0.4022229829292705,0.3701696966809867,0.4022229829292705,77,1,ref
30,0.36442988833408396,0.4135120975589417,0.36442988833408396,0.4135120975589417,72,1,ref
31,0.36319372342061046,0.4242799154804273,0.36319372342061046,0.4242799154804273,76,1,ref
32,0.35863144699062843,0.43388393850089013,0.35863144699062843,0.43388393850089013,77,1,ref
33,0.3533895623657497,0.4435735410642794,0.3533895623657497,0.4435735410642794,80,1,ref
34,0.3551302823153409,0.45299901996218894,0.3551302823153409,0.45299901996218894,80,1,ref
35,0.3581964530860241,0.45978282779137025,0.3581964530860241,0.45978282779137025,85,1,ref
36,0.35758143253707037,0.46830038158919063,0.35758143253707037,0.46830038158919063,92,1,ref
37,0.3482091865624134,0.47400054388623225,0.3482091865624134,0.47400054388623225,92,1,ref
38,0.34343247508791225,0.4808028143071623,0.34343247508791225,0.4808028143071623,92,1,ref
39,0.34199852108162415,0.4903099630226868,0.34199852108162415,0.4903099630226868,92,1,ref
40,0.33804774654413805,0.5025061339245998,0.33804774654413805,0.5025061339245998,88,1,ref
41,0.330963337765036,0.5159325650578293,0.330963337765036,0.5159325650578293,97,1,ref
42,0.3268524305254816,0.5302473726645909,0.3268524305254816,0.5302473726645909,103,1,ref
