frame,X,Y,source,inliers
1,0.2695225672544826,0.2808239742495561,fused,75
2,0.26059532267054925,0.27789729339843494,fused,74
3,0.266743498593961,0.2806313398865957,fused,79
4,0.37213150120697236,0.29019508148059225,fused,83
5,0.43807980353079545,0.2940252152037228,fused,75
6,0.37715890802090063,0.28441962268385623,fused,76
7,0.2737948816925359,0.24389880568795583,fused,144
8,0.3398858581347059,0.275691017364452,fused,67
9,0.2594887132679509,0.23362870214534392,fused,158
10,0.23566861421669785,0.2093953835719645,fused,160
11,0.24131978398197254,0.20743235473467123,fused,125
12,0.30474471161648636,0.26683868284635653,fused,69
13,0.28260266927119887,0.25112886948278573,fused,76
14,0.26831535375959475,0.25227228926074324,fused,66
15,0.2798266845644459,0.27016121512563496,fused,68
16,0.24965601349623864,0.2427592991821071,fused,105
17,0.2049291901449655,0.19773804921649002,fused,229
18,0.2700851244811842,0.266915670454835,fused,76
19,0.2236370206358916,0.22157777960675124,fused,133
20,0.22713328280453934,0.22057560658176498,fused,127
21,0.21630361360478623,0.20631117533679408,fused,141
22,0.25720440447651344,0.2601892512831982,fused,79
23,0.2568436944446311,0.2685422372859056,fused,81
24,0.23465088485687197,0.24331746486113495,fused,109
25,0.26242917823439493,0.27711676626875936,fused,75
26,0.2717110959755179,0.2916696322197305,fused,72
27,0.2664283468799045,0.2929456583696601,fused,81
28,0.26533489019781686,0.2967152306268119,fused,78
29,0.19887265745478455,0.2401837330151417,fused,464
30,0.24250335630592207,0.28206888338624014,fused,128
31,0.27623050015825684,0.3071606648874267,fused,76
32,0.22242833349532132,0.283742024245233,fused,222
33,0.25770408867399136,0.3084335782623053,fused,113
34,0.25038556481098434,0.31256884868757334,fused,164
35,0.257757642605838,0.3215909310594366,fused,147
36,0.2844494623556121,0.3296247099375837,fused,72
37,0.3233380870550507,0.32819480222754793,fused,116
38,0.2494832565073353,0.33052144865969624,fused,558
39,0.29488918497529043,0.33827100255202924,fused,133
40,0.23410949669980347,0.3031442653510335,fused,550
41,0.3157059013264746,0.32935212031504285,fused,84
42,0.2360472121343854,0.28749787652332914,fused,225
43,0.21389787502050867,0.2606262872319507,fused,380
44,0.20585183331860002,0.24360986716352545,fused,543
45,0.42357925797051627,0.3247634435180026,fused,131
46,0.3598312962285069,0.3170666460086184,fused,76
47,0.22839605353671164,0.25903537678032823,fused,251
48,0.31719511847055815,0.3139326977329134,fused,81
49,0.30589043908695734,0.31963856815161995,fused,88
50,0.21428795087522773,0.2618690073207587,fused,341
51,0.29173374913366945,0.31867372637942826,fused,79
