frame,X,Y,source
51,-0.1597,0.8839,cam1
52,-0.1497,0.8818,cam1
53,-0.1438,0.8767,cam1
54,-0.1229,0.8718,cam1
55,-0.097,0.8665,cam1
56,-0.0691,0.8615,cam1
57,-0.0601,0.8548,cam1
58,-0.0413,0.8515,cam1
59,-0.0181,0.8496,cam1
60,0.0032,0.8536,cam1
61,0.0204,0.8589,cam1
62,0.0314,0.8623,cam1
63,0.0351,0.8631,cam1
64,0.0304,0.8606,cam1
65,0.0211,0.8559,cam1
66,0.0209,0.8508,cam1
67,0.0276,0.8462,cam1
68,0.0376,0.8414,cam1
69,0.0514,0.837,cam1
70,0.0731,0.8331,cam1
71,0.0895,0.8289,cam1
72,0.1013,0.8239,cam1
73,0.11,0.8186,cam1
74,0.1173,0.8131,cam1
75,0.125,0.8072,cam1
76,0.1338,0.8004,cam1
77,0.1297,0.7921,cam1
78,0.1233,0.7835,cam1
79,0.1214,0.7754,cam1
80,0.1331,0.7686,cam1
81,0.1573,0.7628,cam1
82,0.1888,0.758,cam1
83,0.2209,0.7538,cam1
84,0.2681,0.7506,cam1
85,0.3189,0.7473,cam1
86,0.387,0.7444,cam1
87,0.4515,0.7406,cam1
88,0.5083,0.7357,cam1
89,0.5586,0.7313,cam1
90,0.6023,0.7271,cam1
91,0.6385,0.7226,cam1
92,0.6688,0.7178,cam1
93,0.692,0.7128,cam1
94,0.7112,0.7076,cam1
95,0.7234,0.7021,cam1
96,0.7367,0.6964,cam1
97,0.7507,0.6906,cam1
98,0.7696,0.6834,cam1
99,0.791,0.6755,cam1
100,0.8476,0.6676,cam1
101,0.8765,0.6586,cam1
102,0.905,0.6499,cam1
103,0.9453,0.6417,cam1
104,0.9995,0.634,cam1
105,1.0519,0.6267,cam1
106,1.1008,0.6197,cam1
107,1.142,0.6134,cam1
108,1.1737,0.6074,cam1
109,1.1973,0.6019,cam1
110,1.216,0.5969,cam1
111,1.2316,0.5925,cam1
112,1.2455,0.5888,cam1
113,1.2582,0.5856,cam1
114,1.2709,0.5831,cam1
115,1.2855,0.5814,cam1
116,1.3054,0.5804,cam1
117,1.3383,0.5807,cam1
118,1.3801,0.5818,cam1
119,1.4388,0.5835,cam1
120,1.5077,0.5855,cam1
121,1.5807,0.5878,cam1
122,1.6554,0.5896,cam1
123,1.7282,0.5911,cam1
124,1.7909,0.5924,cam1
125,1.8413,0.5935,cam1
126,1.8796,0.594,cam1
127,1.9087,0.5938,cam1
128,1.9324,0.5932,cam1
129,1.9514,0.5921,cam1
130,1.9682,0.5902,cam1
131,1.9807,0.5877,cam1
132,1.9907,0.5841,cam1
133,2.0005,0.5796,cam1
134,2.0183,0.5738,cam1
135,2.0462,0.567,cam1
136,2.0789,0.5597,cam1
137,2.1111,0.5523,cam1
138,2.1485,0.5449,cam1
139,2.1976,0.5374,cam1
140,2.2594,0.5297,cam1
141,2.3238,0.5221,cam1
142,2.3836,0.5148,cam1
143,2.4314,0.5082,cam1
144,2.4683,0.5023,cam1
145,2.4959,0.4973,cam1
146,2.5168,0.4932,cam1
147,2.5323,0.49,cam1
148,2.5464,0.4878,cam1
149,2.5564,0.4865,cam1
150,2.5666,0.486,cam1
151,2.5821,0.4863,cam1
152,2.6039,0.4871,cam1
153,2.6308,0.4886,cam1
154,2.6612,0.4907,cam1
155,2.7104,0.4931,cam1
156,2.7778,0.4954,cam1
157,2.8499,0.4977,cam1
158,2.9188,0.4996,cam1
159,2.9814,0.5011,cam1
160,3.0351,0.5027,cam1
161,3.0767,0.5041,cam1
162,3.1096,0.5056,cam1
163,3.1348,0.5069,cam1
164,3.1541,0.5078,cam1
165,3.1688,0.5084,cam1
166,3.1767,0.5088,cam1
167,3.1812,0.509,cam1
168,3.1849,0.5086,cam1
169,3.1928,0.5066,cam1
170,3.204,0.5034,cam1
171,3.221,0.4991,cam1
172,3.246,0.4936,cam1
173,3.2776,0.4874,cam1
174,3.3185,0.4808,cam1
175,3.3728,0.4744,cam1
176,3.4397,0.4682,cam1
177,3.5121,0.4617,cam1
178,3.5773,0.4557,cam1
179,3.634,0.4504,cam1
180,3.6809,0.446,cam1
181,3.7165,0.4424,cam1
182,3.7404,0.4399,cam1
183,3.7571,0.4382,cam1
184,3.7683,0.4374,cam1
185,3.7807,0.4372,cam1
186,3.7985,0.4374,cam1
187,3.8292,0.4379,cam1
188,3.8732,0.4387,cam1
189,3.9271,0.4399,cam1
190,3.9792,0.4414,cam1
191,4.029,0.4431,cam1
192,4.0812,0.4456,cam1
193,4.134,0.4479,cam1
194,4.1865,0.4492,cam1
195,4.2329,0.4505,cam1
196,4.2752,0.452,cam1
197,4.3124,0.4538,cam1
198,4.342,0.4558,cam1
199,4.3664,0.4576,cam1
