frame,id,x,y
11,1,1.7819,-0.1964
11,2,3.6149,0.1554
12,1,1.7789,-0.1926
12,2,3.6146,0.1550
13,1,1.7725,-0.1859
13,2,3.6144,0.1547
14,1,1.7659,-0.1797
14,2,3.6143,0.1545
15,1,1.7599,-0.1699
15,2,3.6142,0.1544
16,1,1.7518,-0.1514
16,2,3.6142,0.1543
17,1,1.7417,-0.1286
17,2,3.6141,0.1542
18,1,1.7277,-0.1044
18,2,3.6141,0.1540
19,1,1.7162,-0.0805
19,2,3.6140,0.1538
20,1,1.7079,-0.0571
20,2,3.6140,0.1538
21,1,1.7027,-0.0354
21,2,3.6139,0.1538
22,1,1.7005,-0.0150
22,2,3.6138,0.1538
23,1,1.7025,0.0055
23,2,3.6137,0.1539
24,1,1.7084,0.0267
24,2,3.6136,0.1537
24,3,3.1647,3.2993
25,1,1.7162,0.0487
25,2,3.6133,0.1533
25,3,3.1645,3.2999
26,1,1.7262,0.0732
26,2,3.6131,0.1529
26,3,3.1640,3.3013
27,1,1.7368,0.0991
27,2,3.6129,0.1527
27,3,3.1636,3.3023
28,1,1.7507,0.1289
28,2,3.6127,0.1523
29,1,1.7644,0.1589
29,2,3.6124,0.1520
30,1,1.7790,0.1911
30,2,3.6121,0.1514
30,3,3.1631,3.3023
31,1,1.7924,0.2233
31,2,3.6117,0.1509
31,3,3.1626,3.3033
32,1,1.8040,0.2535
32,2,3.6113,0.1504
32,3,3.1624,3.3036
33,1,1.8139,0.2819
34,1,1.8195,0.3143
34,2,3.6115,0.1507
35,1,1.7595,0.4043
35,2,3.6118,0.1510
35,3,3.1624,3.3056
36,1,1.6843,0.5100
36,2,3.6120,0.1513
36,3,3.1624,3.3081
37,1,1.6781,0.5579
37,3,3.1619,3.3123
38,1,1.6812,0.5973
38,3,3.1615,3.3148
38,2,3.6113,0.1503
39,1,1.6876,0.6298
39,3,3.1609,3.3152
39,2,3.6106,0.1491
40,1,1.6928,0.6606
41,1,1.6946,0.6943
41,2,3.6097,0.1476
42,1,1.6966,0.7279
42,3,3.1605,3.3133
43,1,1.7002,0.7567
43,3,3.1603,3.3125
43,2,3.6090,0.1464
44,1,1.7060,0.7887
44,3,3.1601,3.3128
45,1,1.7155,0.8226
45,2,3.6088,0.1460
46,1,1.7260,0.8552
46,2,3.6086,0.1458
46,3,3.1594,3.3142
47,1,1.7356,0.8870
47,2,3.6082,0.1456
47,3,3.1588,3.3149
48,1,1.7448,0.9206
48,2,3.6078,0.1450
48,3,3.1583,3.3152
49,1,1.7531,0.9514
49,2,3.6074,0.1442
49,3,3.1581,3.3154
50,1,1.7595,0.9835
50,2,3.6073,0.1442
50,3,3.1582,3.3155
51,1,1.7613,1.0195
51,3,3.1583,3.3152
52,1,1.7515,1.0682
52,3,3.1585,3.3154
52,2,3.6075,0.1446
53,1,1.7364,1.1248
53,3,3.1583,3.3160
53,2,3.6076,0.1446
54,1,1.7283,1.1737
54,3,3.1584,3.3164
54,2,3.6076,0.1445
55,1,1.7174,1.2272
55,3,3.1584,3.3164
55,2,3.6076,0.1445
56,1,1.7122,1.2727
56,3,3.1590,3.3150
56,2,3.6076,0.1444
57,1,1.7081,1.3162
57,3,3.1598,3.3124
57,2,3.6075,0.1443
58,1,1.7075,1.3546
58,3,3.1611,3.3081
58,2,3.6075,0.1442
59,1,1.7085,1.3893
59,3,3.1630,3.3021
59,2,3.6077,0.1444
60,1,1.7119,1.4190
60,3,3.1660,3.2924
60,2,3.6080,0.1448
61,1,1.7189,1.4466
61,3,3.1704,3.2746
61,2,3.6083,0.1453
62,1,1.7272,1.4721
62,2,3.6087,0.1457
63,1,1.7368,1.4970
63,2,3.6088,0.1459
64,1,1.7465,1.5205
64,2,3.6091,0.1464
64,3,3.1824,3.2237
65,1,1.7558,1.5427
65,2,3.6093,0.1468
