frame,id,Xs,Ys
1,1,0.8549,0.4482
1,2,0.1957,-0.1551
2,1,0.8545,0.4482
2,2,0.1949,-0.1516
3,1,0.8533,0.4479
3,2,0.1934,-0.1449
4,1,0.8513,0.4477
4,2,0.1925,-0.1408
4,4,0.5644,-0.2104
5,1,0.8487,0.4474
5,2,0.1928,-0.1412
6,1,0.8461,0.4472
6,2,0.1919,-0.1363
7,1,0.8434,0.4471
7,2,0.1942,-0.1446
8,1,0.8412,0.4468
8,2,0.1844,-0.1009
9,1,0.8393,0.4467
9,2,0.1702,-0.0391
10,1,0.8377,0.4470
10,2,0.1577,0.0183
11,1,0.8364,0.4474
11,2,0.1473,0.0680
12,1,0.8355,0.4476
12,2,0.1391,0.1084
13,1,0.8350,0.4480
13,2,0.1329,0.1414
14,1,0.8348,0.4481
14,2,0.1293,0.1688
14,9,0.2089,-0.1811
15,1,0.8347,0.4481
15,2,0.1273,0.1936
16,1,0.8346,0.4482
16,2,0.1269,0.2139
17,1,0.8344,0.4484
17,2,0.1282,0.2299
18,1,0.8341,0.4484
18,2,0.1304,0.2428
19,1,0.8336,0.4486
19,2,0.1336,0.2530
20,1,0.8328,0.4487
20,2,0.1372,0.2620
21,1,0.8318,0.4491
21,2,0.1406,0.2716
22,1,0.8307,0.4498
22,2,0.1435,0.2817
23,1,0.8296,0.4507
23,2,0.1464,0.2912
24,1,0.8285,0.4516
24,2,0.1491,0.3013
25,1,0.8275,0.4520
25,2,0.1513,0.3148
26,1,0.8268,0.4524
26,2,0.1531,0.3310
27,1,0.8266,0.4526
27,2,0.1538,0.3512
28,1,0.8270,0.4528
28,2,0.1533,0.3740
29,1,0.8279,0.4532
29,2,0.1520,0.4003
30,1,0.8301,0.4547
30,2,0.1524,0.4285
31,1,0.8327,0.4573
31,2,0.1541,0.4522
32,1,0.8355,0.4612
32,2,0.1563,0.4715
33,1,0.8388,0.4680
33,2,0.1585,0.4874
34,1,0.8429,0.4780
34,2,0.1606,0.5007
35,1,0.8479,0.4915
35,2,0.1626,0.5113
36,1,0.8534,0.5079
36,2,0.1645,0.5204
37,1,0.8590,0.5262
37,2,0.1660,0.5287
38,1,0.8655,0.5501
38,2,0.1671,0.5364
39,1,0.8723,0.5759
39,2,0.1675,0.5441
40,1,0.8785,0.6005
40,2,0.1671,0.5529
41,1,0.8834,0.6214
41,2,0.1660,0.5631
42,1,0.8872,0.6395
42,2,0.1637,0.5760
43,1,0.8901,0.6537
43,2,0.1611,0.5915
44,1,0.8923,0.6664
44,2,0.1580,0.6124
45,1,0.8937,0.6761
45,2,0.1549,0.6370
46,1,0.8945,0.6844
46,2,0.1519,0.6632
47,1,0.8943,0.6916
47,2,0.1488,0.6919
47,13,0.5678,-0.2091
48,1,0.8931,0.6979
48,2,0.1457,0.7199
48,13,0.5679,-0.2091
49,1,0.8911,0.7035
49,2,0.1429,0.7435
49,13,0.5680,-0.2090
50,1,0.8885,0.7092
50,2,0.1406,0.7630
50,13,0.5680,-0.2087
51,1,0.8856,0.7150
51,2,0.1389,0.7788
52,1,0.8831,0.7212
52,2,0.1380,0.7917
52,13,0.5681,-0.2086
53,1,0.8811,0.7291
53,2,0.1379,0.8019
54,1,0.8797,0.7399
54,2,0.1388,0.8101
55,1,0.8782,0.7528
55,2,0.1407,0.8164
56,1,0.8768,0.7668
56,2,0.1429,0.8214
57,1,0.8758,0.7831
57,2,0.1454,0.8253
57,13,0.5681,-0.2080
58,1,0.8753,0.8052
58,2,0.1480,0.8293
58,13,0.5681,-0.2075
59,1,0.8758,0.8354
59,2,0.1506,0.8350
60,1,0.8764,0.8669
