frame,id,Xs,Ys
51,1,-0.1597,0.8839
52,1,-0.1497,0.8818
53,1,-0.1438,0.8767
54,1,-0.1229,0.8718
55,1,-0.0970,0.8665
56,1,-0.0691,0.8615
57,1,-0.0601,0.8548
58,1,-0.0413,0.8515
59,1,-0.0181,0.8496
60,1,0.0032,0.8536
61,1,0.0204,0.8589
62,1,0.0314,0.8623
63,1,0.0351,0.8631
64,1,0.0304,0.8606
65,1,0.0211,0.8559
66,1,0.0209,0.8508
67,1,0.0276,0.8462
68,1,0.0376,0.8414
69,1,0.0514,0.8370
70,1,0.0731,0.8331
71,1,0.0895,0.8289
72,1,0.1013,0.8239
73,1,0.1100,0.8186
74,1,0.1173,0.8131
75,1,0.1250,0.8072
76,1,0.1338,0.8004
77,1,0.1297,0.7921
78,1,0.1233,0.7835
79,1,0.1214,0.7754
80,1,0.1331,0.7686
81,1,0.1573,0.7628
82,1,0.1888,0.7580
83,1,0.2209,0.7538
84,1,0.2681,0.7506
85,1,0.3189,0.7473
86,1,0.3870,0.7444
87,1,0.4515,0.7406
88,1,0.5083,0.7357
89,1,0.5586,0.7313
90,1,0.6023,0.7271
91,1,0.6385,0.7226
92,1,0.6688,0.7178
93,1,0.6920,0.7128
94,1,0.7112,0.7076
95,1,0.7234,0.7021
96,1,0.7367,0.6964
97,1,0.7507,0.6906
98,1,0.7696,0.6834
99,1,0.7910,0.6755
100,1,0.8476,0.6676
101,1,0.8765,0.6586
102,1,0.9050,0.6499
103,1,0.9453,0.6417
104,1,0.9995,0.6340
105,1,1.0519,0.6267
106,1,1.1008,0.6197
107,1,1.1420,0.6134
108,1,1.1737,0.6074
109,1,1.1973,0.6019
110,1,1.2160,0.5969
111,1,1.2316,0.5925
112,1,1.2455,0.5888
113,1,1.2582,0.5856
114,1,1.2709,0.5831
115,1,1.2855,0.5814
116,1,1.3054,0.5804
117,1,1.3383,0.5807
118,1,1.3801,0.5818
119,1,1.4388,0.5835
120,1,1.5077,0.5855
121,1,1.5807,0.5878
122,1,1.6554,0.5896
123,1,1.7282,0.5911
124,1,1.7909,0.5924
125,1,1.8413,0.5935
126,1,1.8796,0.5940
127,1,1.9087,0.5938
128,1,1.9324,0.5932
129,1,1.9514,0.5921
130,1,1.9682,0.5902
131,1,1.9807,0.5877
132,1,1.9907,0.5841
133,1,2.0005,0.5796
134,1,2.0183,0.5738
135,1,2.0462,0.5670
136,1,2.0789,0.5597
137,1,2.1111,0.5523
138,1,2.1485,0.5449
139,1,2.1976,0.5374
140,1,2.2594,0.5297
141,1,2.3238,0.5221
142,1,2.3836,0.5148
143,1,2.4314,0.5082
144,1,2.4683,0.5023
145,1,2.4959,0.4973
146,1,2.5168,0.4932
147,1,2.5323,0.4900
148,1,2.5464,0.4878
149,1,2.5564,0.4865
150,1,2.5666,0.4860
151,1,2.5821,0.4863
152,1,2.6039,0.4871
153,1,2.6308,0.4886
154,1,2.6612,0.4907
155,1,2.7104,0.4931
156,1,2.7778,0.4954
157,1,2.8499,0.4977
158,1,2.9188,0.4996
159,1,2.9814,0.5011
160,1,3.0351,0.5027
161,1,3.0767,0.5041
162,1,3.1096,0.5056
163,1,3.1348,0.5069
164,1,3.1541,0.5078
165,1,3.1688,0.5084
166,1,3.1767,0.5088
167,1,3.1812,0.5090
168,1,3.1849,0.5086
169,1,3.1928,0.5066
170,1,3.2040,0.5034
171,1,3.2210,0.4991
172,1,3.2460,0.4936
173,1,3.2776,0.4874
174,1,3.3185,0.4808
175,1,3.3728,0.4744
176,1,3.4397,0.4682
177,1,3.5121,0.4617
178,1,3.5773,0.4557
179,1,3.6340,0.4504
180,1,3.6809,0.4460
181,1,3.7165,0.4424
182,1,3.7404,0.4399
183,1,3.7571,0.4382
184,1,3.7683,0.4374
185,1,3.7807,0.4372
186,1,3.7985,0.4374
187,1,3.8292,0.4379
188,1,3.8732,0.4387
189,1,3.9271,0.4399
190,1,3.9792,0.4414
191,1,4.0290,0.4431
192,1,4.0812,0.4456
193,1,4.1340,0.4479
194,1,4.1865,0.4492
195,1,4.2329,0.4505
196,1,4.2752,0.4520
197,1,4.3124,0.4538
198,1,4.3420,0.4558
199,1,4.3664,0.4576
200,1,4.3827,0.4588
201,1,4.3978,0.4592
202,1,4.4130,0.4586
203,1,4.4268,0.4575
204,1,4.4380,0.4557
205,1,4.4533,0.4530
206,1,4.4721,0.4483
207,1,4.5004,0.4419
208,1,4.5366,0.4337
209,1,4.5874,0.4249
210,1,4.6545,0.4163
211,1,4.7211,0.4078
212,1,4.7722,0.3995
213,1,4.8069,0.3922
214,1,4.8362,0.3858
215,1,4.8679,0.3801
216,1,4.9015,0.3747
217,1,4.9314,0.3701
218,1,4.9515,0.3666
219,1,4.9684,0.3638
220,1,4.9865,0.3619
221,1,5.0053,0.3608
222,1,5.0266,0.3601
223,1,5.0457,0.3600
224,1,5.0588,0.3608
225,1,5.0802,0.3619
226,1,5.1168,0.3632
227,1,5.1799,0.3640
228,1,5.2510,0.3640
229,1,5.3218,0.3626
230,1,5.3827,0.3594
231,1,5.4343,0.3563
232,1,5.4756,0.3543
233,1,5.5104,0.3541
234,1,5.5401,0.3557
235,1,5.5737,0.3582
236,1,5.6037,0.3611
237,1,5.6304,0.3633
238,1,5.6486,0.3648
239,1,5.6609,0.3657
240,1,5.6722,0.3659
241,1,5.6870,0.3649
242,1,5.7098,0.3629
243,1,5.7384,0.3600
244,1,5.7612,0.3563
245,1,5.7943,0.3519
246,1,5.8347,0.3473
247,1,5.8785,0.3429
248,1,5.9138,0.3391
249,1,5.9373,0.3360
250,1,5.9559,0.3334
251,1,5.9780,0.3316
252,1,6.0104,0.3305
253,1,6.0479,0.3306
254,1,6.0862,0.3321
255,1,6.1279,0.3351
256,1,6.1662,0.3394
257,1,6.1975,0.3452
258,1,6.2288,0.3521
259,1,6.2570,0.3607
260,1,6.2806,0.3707
261,1,6.2974,0.3828
262,1,6.3190,0.3941
263,1,6.3482,0.4044
264,1,6.4127,0.4147
265,1,6.4880,0.4248
266,1,6.5617,0.4349
267,1,6.6380,0.4466
268,1,6.7088,0.4612
269,1,6.7576,0.4771
270,1,6.7917,0.4936
271,1,6.8072,0.5100
272,1,6.8316,0.5258
273,1,6.8653,0.5417
274,1,6.8919,0.5568
275,1,6.9196,0.5708
276,1,6.9448,0.5832
277,1,6.9812,0.5944
278,1,7.0213,0.6046
279,1,7.0485,0.6150
280,1,7.0688,0.6256
281,1,7.0818,0.6363
282,1,7.0891,0.6473
283,1,7.1026,0.6586
284,1,7.1180,0.6719
285,1,7.1512,0.6883
286,1,7.1855,0.7083
287,1,7.2172,0.7328
288,1,7.2517,0.7602
289,1,7.2736,0.7913
290,1,7.2924,0.8191
291,1,7.3069,0.8442
292,1,7.3157,0.8670
293,1,7.3129,0.8881
294,1,7.3118,0.9066
295,1,7.3130,0.9231
296,1,7.3127,0.9382
297,1,7.3270,0.9522
298,1,7.3481,0.9663
299,1,7.3728,0.9814
300,1,7.3856,0.9967
