frame,id,x,y
420,1,0.1902,1.5815
421,1,0.1915,1.5769
422,1,0.1898,1.5690
423,1,0.1561,1.5498
424,1,0.1325,1.5340
424,1,0.1496,1.5363
425,1,0.1292,1.5203
425,1,0.1514,1.5293
426,1,0.1319,1.5126
426,1,0.1560,1.5305
427,1,0.1381,1.4939
427,1,0.1608,1.4958
428,1,0.1431,1.4540
428,1,0.1668,1.4760
429,1,0.1474,1.3821
429,1,0.1661,1.3556
430,1,0.1482,1.2667
431,1,0.1373,1.1877
432,1,0.1294,1.1206
433,1,0.1586,1.0898
434,1,0.1833,1.0599
435,1,0.2043,1.0327
436,1,0.2232,1.0125
437,1,0.2368,0.9969
438,1,0.2499,0.9878
439,1,0.2615,0.9821
440,1,0.2723,0.9795
441,1,0.2826,0.9789
442,1,0.2930,0.9810
443,1,0.3030,0.9841
444,1,0.3126,0.9869
445,1,0.3198,0.9885
446,1,0.3281,0.9903
447,1,0.3331,0.9912
448,1,0.3393,0.9920
449,1,0.3459,0.9940
450,1,0.3530,0.9951
451,1,0.3597,0.9962
452,1,0.3672,0.9982
453,1,0.3751,1.0010
454,1,0.3838,1.0043
455,1,0.3926,1.0079
456,1,0.4012,1.0112
457,1,0.4096,1.0142
458,1,0.4184,1.0175
459,1,0.4287,1.0228
460,1,0.4410,1.0291
461,1,0.4564,1.0363
462,1,0.4749,1.0434
463,1,0.4941,1.0495
464,1,0.5145,1.0569
465,1,0.5363,1.0663
466,1,0.5576,1.0741
467,1,0.5771,1.0806
468,1,0.5945,1.0864
469,1,0.6093,1.0916
470,1,0.6219,1.0958
471,1,0.6324,1.0995
472,1,0.6404,1.1035
473,1,0.6466,1.1065
474,1,0.6517,1.1089
475,1,0.6556,1.1105
476,1,0.6584,1.1111
477,1,0.6606,1.1108
478,1,0.6624,1.1104
479,1,0.6644,1.1099
480,1,0.6665,1.1094
481,1,0.6681,1.1101
482,1,0.6692,1.1109
483,1,0.6699,1.1118
484,1,0.6708,1.1128
485,1,0.6724,1.1151
486,1,0.6739,1.1169
487,1,0.6753,1.1185
488,1,0.6770,1.1202
489,1,0.6788,1.1221
490,1,0.6811,1.1244
491,1,0.6835,1.1264
492,1,0.6864,1.1270
493,1,0.6904,1.1278
494,1,0.6951,1.1292
495,1,0.7013,1.1343
496,1,0.7092,1.1428
497,1,0.7196,1.1577
498,1,0.7304,1.1771
499,1,0.7409,1.1981
500,1,0.7506,1.2202
501,1,0.7595,1.2439
502,1,0.7675,1.2688
503,1,0.7748,1.2940
