frame,id,Xs,Ys
36,1,0.3635,1.0895
39,1,0.3590,1.0867
40,1,0.3542,1.0843
41,1,0.3523,1.0819
42,1,0.3521,1.0811
43,1,0.3476,1.0787
44,1,0.3201,1.0731
45,1,0.2862,1.0654
46,1,0.2590,1.0577
47,1,0.2402,1.0496
48,1,0.2299,1.0406
49,1,0.2243,1.0313
50,1,0.2236,1.0203
51,1,0.2302,1.0068
52,1,0.2423,0.9918
53,1,0.2556,0.9752
54,1,0.2669,0.9573
55,1,0.2749,0.9389
56,1,0.2807,0.9204
57,1,0.2862,0.9030
58,1,0.2907,0.8870
59,1,0.2984,0.8700
60,1,0.3095,0.8538
61,1,0.3245,0.8386
62,1,0.3424,0.8247
63,1,0.3605,0.8112
64,1,0.3769,0.7974
65,1,0.3890,0.7828
66,1,0.3989,0.7681
67,1,0.4077,0.7531
68,1,0.4133,0.7382
69,1,0.4172,0.7235
70,1,0.4207,0.7093
71,1,0.4237,0.6959
72,1,0.4252,0.6834
73,1,0.4256,0.6718
74,1,0.4256,0.6606
75,1,0.4263,0.6499
76,1,0.4278,0.6401
77,1,0.4304,0.6311
78,1,0.4357,0.6227
79,1,0.4429,0.6150
80,1,0.4528,0.6080
81,1,0.4642,0.6014
82,1,0.4813,0.5953
83,1,0.5034,0.5893
84,1,0.5313,0.5840
85,1,0.5641,0.5791
86,1,0.5978,0.5746
87,1,0.6317,0.5705
88,1,0.6589,0.5661
89,1,0.6803,0.5617
90,1,0.6966,0.5571
91,1,0.7099,0.5526
92,1,0.7211,0.5476
93,1,0.7297,0.5421
94,1,0.7370,0.5355
95,1,0.7430,0.5283
96,1,0.7486,0.5206
97,1,0.7551,0.5123
98,1,0.7635,0.5045
99,1,0.7752,0.4967
100,1,0.7933,0.4887
101,1,0.8137,0.4807
102,1,0.8449,0.4726
103,1,0.8848,0.4646
104,1,0.9271,0.4570
105,1,0.9669,0.4500
106,1,0.9999,0.4437
107,1,1.0266,0.4380
108,1,1.0467,0.4332
109,1,1.0618,0.4290
109,2,5.6392,1.1217
110,1,1.0718,0.4255
110,2,5.6401,1.1214
111,1,1.0787,0.4227
111,2,5.6310,1.1195
112,1,1.0826,0.4206
112,2,5.6021,1.1142
113,1,1.0857,0.4193
113,2,5.5629,1.1068
114,1,1.0891,0.4188
114,2,5.5298,1.0992
115,1,1.0956,0.4190
115,2,5.4855,1.0907
116,1,1.1067,0.4201
116,2,5.4999,1.0850
116,3,8.4107,1.2592
117,1,1.1234,0.4226
117,2,5.4672,1.0732
118,1,1.1471,0.4256
118,2,5.4071,1.0586
119,1,1.1828,0.4289
119,2,5.3945,1.0466
120,1,1.2242,0.4321
120,2,5.3872,1.0355
121,1,1.2678,0.4356
121,2,5.4351,1.0273
122,1,1.3092,0.4385
122,2,5.5250,1.0223
123,1,1.3444,0.4413
123,2,5.6695,1.0207
124,1,1.3731,0.4438
124,2,5.9647,1.0283
125,1,1.3941,0.4458
125,2,6.2991,1.0371
126,1,1.4095,0.4476
126,2,6.6224,1.0432
127,1,1.4208,0.4495
127,2,6.9173,1.0452
128,1,1.4284,0.4507
128,2,7.1818,1.0452
129,1,1.4343,0.4508
129,2,7.4016,1.0430
130,1,1.4402,0.4499
130,2,7.5747,1.0378
131,1,1.4467,0.4479
131,2,7.7166,1.0298
132,1,1.4532,0.4451
132,2,7.8316,1.0204
133,1,1.4609,0.4416
133,2,7.9177,1.0084
134,1,1.4698,0.4376
134,2,7.9928,0.9955
135,1,1.4814,0.4333
135,2,8.0524,0.9823
136,1,1.4957,0.4288
136,2,8.0939,0.9689
